common_norm	common_display	scientific
aguila mora	Águila mora	Geranoaetus melanoleucus
aguila moteada	Águila moteada	Clanga clanga
aguila moteada hindu	Águila moteada hindú	Aquila hastata
aguila negra	Águila negra	Spizaetus tyrannus
aguila papua	Águila papúa	Hieraaetus weiskei
aguila perdicera	Águila perdicera	Aquila fasciata
aguila picuda	Aguila Picuda	Myliobatis longirostris
aguila poma	Aguila Poma	Spizaetus isidori
aguila pomerana	Águila pomerana	Clanga pomarina
aguila rapaz	Águila rapaz	Aquila rapax
aguila solitaria	Aguila Solitaria	Buteogallus solitarius
aguila variable	Águila variable	Nisaetus cirrhatus
aguila ventrirroja	Águila ventrirroja	Lophotriorchis kienerii
aguila viuda	Águila viuda	Spizaetus melanoleucus
aguila volatinera	Águila volatinera	Terathopius ecaudatus
aguila-azor blanquinegra	Aguila-azor Blanquinegra	Spizaetus melanoleucus
aguila-azor chica	Aguila-azor Chica	Spizaetus melanoleucus
aguila-azor de ceilan	Aguila-azor de Ceilán	Nisaetus kelaarti
aguila-azor de celebes	Aguila-azor de Célebes	Nisaetus lanceolatus
aguila-azor de wallace	Aguila-azor de Wallace	Nisaetus nanus
aguila-azor montanesa	Águila-azor montañesa	Nisaetus nipalensis
aguila-azor negra	Águila-azor negra	Spizaetus tyrannus
aguila-azor variable	Águila-azor variable	Nisaetus cirrhatus
aguilucho alas anchas	Aguilucho alas anchas	Buteo platypterus
aguilucho andino	Aguilucho andino	Buteo albigula
aguilucho blanco	Aguilucho blanco	Pseudastur polionotus
aguilucho caricalvo comun	Aguilucho caricalvo común	Polyboroides typus
aguilucho caricalvo malgache	Aguilucho caricalvo malgache	Polyboroides radiatus
aguilucho cola colorada	Aguilucho Cola Colorada	Buteo ventralis
aguilucho cola corta	Aguilucho cola corta	Buteo brachyurus
aguilucho cola rojiza	Aguilucho cola rojiza	Buteo ventralis
aguilucho colorado	Aguilucho colorado	Buteogallus meridionalis
aguilucho comun	Aguilucho común	Geranoaetus polyosoma
aguilucho de azara	Aguilucho de Azara	Circus buffoni
aguilucho de cola rojiza	Aguilucho de cola rojiza	Buteo ventralis
aguilucho gris	Aguilucho gris	Buteo nitidus
aguilucho lagunero de reunion	Aguilucho lagunero de Reunión	Circus maillardi
aguilucho lagunero del pacifico	Aguilucho lagunero del Pacífico	Circus approximans
aguilucho lagunero etiopico	Aguilucho lagunero etiópico	Circus ranivorus
aguilucho lagunero malgache	Aguilucho Lagunero Malgache	Circus macrosceles|Circus maillardi
aguilucho lagunero oriental	Aguilucho lagunero oriental	Circus spilonotus
aguilucho lagunero papu	Aguilucho lagunero papú	Circus spilothorax
aguilucho langostero	Aguilucho langostero	Buteo swainsoni
aguilucho moteado	Aguilucho moteado	Circus assimilis
aguilucho negro	Aguilucho negro	Buteo albonotatus|Circus maurus
aguilucho papialbo	Aguilucho papialbo	Circus macrourus
aguilucho pio	Aguilucho pío	Circus melanoleucos
aguilucho vari	Aguilucho vari	Circus cinereus
aguja blanca	Aguja Blanca	Kajikia albida
aguja blanca del atlantico	Aguja Blanca del Atlántico	Kajikia albida
aguja brava	Aguja Brava	Strongylura exilis
aguja cafe	Aguja café	Limosa haemastica
aguja canela	Aguja canela	Limosa fedoa
aguja chica	Aguja chica	Strongylura scapularis
aguja colinegra	Aguja colinegra	Limosa limosa
aguja colipinta	Aguja colipinta	Limosa lapponica
aguja de abanico	Aguja de Abanico	Istiophorus platypterus
aguja de costa	Aguja de Costa	Kajikia albida
aguja de mar	Aguja de Mar	Syngnathus acus
aguja de paladar	Aguja de Paladar	Kajikia albida
aguja de pastor	aguja de pastor	Erodium cicutarium|Geranium robertianum
aguja de vaquero	aguja de vaquero	Erodium cicutarium
aguja del pacifico	Aguja del Pacífico	Tetrapturus pfluegeri
aguja espanola	aguja española	Erodium cicutarium
aguja espinosa	Aguja Espinosa	Syngnathus phlegon
aguja fina de pastor	Aguja fina de pastor	Scandix australis
aguja imperial	Aguja Imperial	Tylosurus acus
aguja mula	Aguja mula	Syngnathus typhle
aguja negra	Aguja Negra	Istiompax indica
aguja picuda	Aguja Picuda	Tetrapturus pfluegeri
aguja sangrienta	aguja sangrienta	Geranium sanguineum
agujas de pastor	agujas de pastor	Erodium cicutarium|Geranium robertianum
agujas de vaquero	agujas de vaquero	Erodium cicutarium
agujas espanolas	agujas españolas	Erodium cicutarium
agujeta africana	Agujeta Africana	Hyporhamphus picarti
agujeta blanca	agujeta blanca	Astroblepus unifasciatus
agujeta californica	Agujeta Califórnica	Hyporhamphus rosae
agujeta choca	Agujeta choca	Hyporhamphus snyderi
agujeta choelo	Agujeta choelo	Hyporhamphus gilli
agujeta escolopacea	Agujeta escolopácea	Limnodromus scolopaceus
agujeta flaca	agujeta flaca	Hyporhamphus meeki
agujeta gris	Agujeta gris	Limnodromus griseus
agujilla	Agujilla	Syngnathus auliscus
agujita	Agujita	Syngnathus auliscus
agujon	Agujón	Cosmocampus arctus|Erodium cicutarium|Kajikia audax|Strongylura marina
agujon californiano	Agujón Californiano	Strongylura exilis
agujon de quilla	Agujón de quilla	Platybelone argalus pterura
agujon del atlantico	Agujón del Atlantico	Strongylura marina
agujon del pacifico	Agujón del Pacífico	Tylosurus pacificus
agujon timucu	Agujón Timucu	Strongylura timucu
agujon verde	Agujon Verde	Strongylura marina
agujonpo	Agujónpo	Strongylura marina
agus pelotudo	agus pelotudo	Blastocerus dichotomus
ahuatoso	Ahuatoso	Magnolia iltisiana
ahue-huete	Ahue-huete	Taxodium mucronatum
ahuehuete	Ahuehuete	Taxodium mucronatum
ahuyama	Ahuyama	Cucurbita maxima
ailanto	Ailanto	Ailanthus altissima
aizoaceas	Aizoáceas	Aizoaceae
ajedrea	Ajedrea	Satureja montana
ajedrea de jardin	Ajedrea de jardín	Satureja hortensis
ajedrezadas	Ajedrezadas	Fritillaria
ajenjo	Ajenjo	Artemisia absinthium
ajera	ajera	Alliaria petiolata
ajete	Ajete	Allium rotundum
aji de gato	ají de gato	Notopleura uliginosa
ajicuervo	ajicuervo	Allium vineale
ajillo	Ajillo	Caryocar costaricense
ajillo de monte	Ajillo de monte	Allium paniculatum
ajo amarillo	Ajo Amarillo	Allium rouyi
ajo de ciguena	Ajo de cigüeña	Allium sphaerocephalon|Allium vineale
ajo de los osos	Ajo de los osos	Allium ursinum
ajo de oso	ajo de oso	Allium vineale
ajo del antojil	ajo del antojil	Lilium martagon
ajo del antosil	ajo del antosil	Lilium martagon
ajo junciero	Ajo junciero	Allium moschatum
ajo negro	Ajo negro	Allium melananthum|Anthodiscus chocoensis
ajo silvestre	ajo silvestre	Allium vineale
ajolote	Ajolote	Ambystoma altamirani|Ambystoma andersoni|Ambystoma bombypellum|Ambystoma granulosum|Ambystoma leorae|Ambystoma lermaense|Ambystoma mexicanum|Ambystoma rosaceum
ajolote de cabeza chata	Ajolote de Cabeza Chata	Ambystoma amblycephalum
ajolote de chapala	Ajolote de Chapala	Ambystoma flavipiperatum
ajonjera	ajonjera	Prenanthes purpurea
ajoporro	Ajoporro	Allium ampeloprasum
akelat aligris	Akelat aligrís	Cossypha polioptera|Sheppardia polioptera
akelat de bocage	Akelat de Bocage	Sheppardia bocagei
akelat de gabela	Akelat de Gabela	Sheppardia gabela
akelat de gunning	Akelat de Gunning	Sheppardia gunningi
akelat de los usambara	Akelat de los Usambara	Sheppardia montana
akelat de rubeho	Akelat de Rubeho	Sheppardia aurantiithorax
akelat de sharpe	Akelat de Sharpe	Sheppardia sharpei
akelat del iringa	Akelat del Iringa	Sheppardia lowei
akelat ecuatorial	Akelat ecuatorial	Sheppardia aequatorialis
akelat occidental	Akelat occidental	Sheppardia cyornithopsis
akepa de hawai	Akepa de Hawai	Loxops coccineus
akepa de hawaii	Akepa de Hawaii	Loxops coccineus
akepa de kauai	Akepa de Kauai	Loxops caeruleirostris
akepa de maui	Akepa de Maui	Loxops ochraceus
